子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
子供が元気で{{c1::さえあれば}}、親は安心していられるものだ。	さえあれば<br>さえすれば<br>こそあれば<br>こぞすれば
シャツのボタンが{{c1::とれている}}から、糸と針を持ってきて。	とれている<br>とられてある<br>とっている<br>とられる
そのピアニストは16歳{{c1::にして}}コンクールに優勝した。	にして<br>をもって<br>をして<br>にとって
震災後の神戸の街は、見るに{{c1::たえない}}状態であった。	たえない<br>すぎない<br>かたい<br>ほかならない
長年の研究が実り受賞できたことは、{{c1::感激の}}至りです。	感激の<br>幸せな<br>うれしい<br>喜ぶ
結婚した息子は、手紙は{{c1::おろか}}、電話さえかけてこない。	おろか<br>ひきかえ<br>かまわず<br>とにかく
その議員は言う{{c1::べからざる}}言葉を吐いて、世間を騒がせた。	べからざる<br>べく<br>べきがない<br>べからず
この大雨では、問い合わせる{{c1::までもなく}}スポーツ大会は中止だろう。	までもなく<br>ものではなく<br>はかなく<br>わけなく
人間にとって、生活の維持も{{c1::さることながら}}、よりよく生きることが大切な問題だ。	さることながら<br>かまわず<br>かかわらず<br>ものともせずに
クレジットカードの使いすぎで、破産しない{{c1::までも}}借金の返済に苦しむ人が増えている。	までも<br>かぎり<br>ところで<br>とすると
両親とも芸術家{{c1::とあって}}、彼女のセンスのよさは抜群だ。	とあって<br>からして<br>とあいまって<br>からすると
新空港の建設候補地は、交通の便のよさという点で当地{{c1::をおいて}}ほかにはないだろう。	をおいて<br>を問わず<br>と言わず<br>をもって
収入の多少を{{c1::問わず}}税額が一律であるとは、どうも納得できない。	問わず<br>かかわらず<br>よそに<br>通じて
我々はとかく西洋医学を信じすぎる{{c1::きらい}}がある。	きらい<br>がち<br>つもり<br>しまつ
結婚{{c1::しようが}}しまいが自由だが、子供に対する責任だけはきちんと果たすべきだ。	しようが<br>しても<br>するか<br>しようにも
いつも遅刻する彼女のことだから、{{c1::今日もまた遅刻だろう}}。	今日もまた遅刻だろう<br>遅刻せずにはいられない<br>また遅刻をした<br>遅刻ばかりしている
両国間の和平交渉はおそらく{{c1::うまくいかないだろう}}。	うまくいかないだろう<br>うまくいきそうだ<br>うまくいかないようだ<br>うまくいくかもしれない
どんなに働いてもアルバイト収入は{{c1::10万円がせいぜいだ}}。	10万円がせいぜいだ<br>10万円せいぜいだ<br>せいぜいで10万円だ<br>せいぜいが10万円だ
超大国と呼ばれる国があれほど簡単に崩壊するとは、{{c1::夢にも思わなかった}}。	夢にも思わなかった<br>なかなか思えなかった<br>予想できたかもしれない<br>考えないでも
ほしいと言えばあげたものを、{{c1::どうして言わなかったの}}。	どうして言わなかったの<br>返すなんて失礼ですよ<br>予想できたかもしれない<br>考えないでもなかたった
雨の少なかった昨年にひきかえ、{{c1::今年は雨が多い}}。	今年は雨が多い<br>今年は雨が少ない<br>水不足が解消した<br>水不足が深刻だった
できないと{{c1::言ってしまえばそれまでだが}}、せっかくのチャンスだ。やれるところまでやってみよう。	言ってしまえばそれまでだが<br>言うまでもないが<br>言わないにしても<br>言ってしまうのは簡単だから
今の職場や仕事に満足している人は{{c1::３割前後}}といったところだろう。	３割前後<br>それほど多くはない<br>ほとんどいない<br>かなり減っている
難しい、難しいと{{c1::言いながらも}}、その学生は試験でけっこういい点を取っている。	言いながらも<br>言うにつけ<br>言うにつれて<br>言ったところで
彼女は、{{c1::一度言い出したが最後}}決して意志を曲げることのない人だ。	一度言い出したが最後<br>一度言い出すや否や<br>一度言い出したとしても<br>一度言い出すなり
その子はたいへん賢く、{{c1::教えるそばから}}覚えてしまう。	教えるそばから<br>教えるかたわら<br>教えている最中に<br>教わりつつも
やせたいんですね。それじゃ、{{c1::食べたいだけ食べる}}というわけにはいかないでしょう。	食べたいだけ食べる<br>太らないように食べる<br>太らないだけ食べる<br>食べたいくらい食べる
ゴールデンウイーク{{c1::と}}あって、観光地はどこも大変な人手だ。	と<br>に<br>で<br>は
市民の批判{{c1::を}}よそに、今日も社長は会議中にいねむりをしていた。	を<br>が<br>ひ<br>の
この間の試験はひどく悪かった。苦手の数学に至って{{c1::は}}クラスの最下位だった。	は<br>も<br>まで<br>までも
成功おめでとう。この企画は、君の力{{c1::なしには}}できなかっただろう。	なしには<br>ないでは<br>ならでは<br>ないまで
この事件の裏に大物政治家が存在することは、想像に{{c1::かたくない}}。	かたくない<br>かたい<br>かたからず<br>かたかろう
中小企業への政府の補助は、個々の企業の実情に{{c1::即して}}行われるべきだ。	即して<br>関して<br>基にして<br>限って
公園は、東京を{{c1::皮切りに}}、名古屋、大阪と日本各地を回る予定だ。	皮切りに<br>はじめに<br>限りに<br>きっかけに
人の顔を{{c1::見る}}なり笑い出すなんて、失礼なやつだ。	見る<br>見た<br>見ない<br>見て
研究者{{c1::たる}}者、真実を追究する心を失ってはならぬ。	たる<br>まじき<br>ごとき<br>ある
出土した黄金の装飾品は、贅沢の{{c1::極み}}を尽くした当時の王族の生活を想像させる。	極み<br>至り<br>至る<br>極まる
ずいぶん春{{c1::めいて}}まいりました。お変わりなくお過ごしでしょうか。	めいて<br>まみれて<br>らしく<br>ともなって
こんなことになるとは、想像{{c1::だに}}しなかった。	だに<br>まで<br>とは<br>ばかり
娘は勉強もせずに遊んでばかりいたが、ついに高校をやめて歌手になりたいと言い出す{{c1::しまつ}}で、私も妻も困り切っている。	しまつ<br>あげく<br>結果<br>最後
釣り自慢の父は体長が１メートル{{c1::からある}}魚を釣って、大得意である。	からある<br>のごとき<br>ならではの<br>ましの
兄は、大学で医学を勉強する{{c1::かたわら}}、小説を書いている。	かたわら<br>がてら<br>が早いか<br>かたがた
「おいおい、電気が{{c1::つけっぱなしだ}}よ。」「あっ、いけない。消しといて」	つけっぱなしだ<br>つけっぽい<br>つけかけだ<br>つけっきりだ
この島には、電話{{c1::はおろか}}、水道も電気もない。	はおろか<br>が最後<br>までも<br>ですら
あの二人はよほど仲が悪いのだろう。いつも{{c1::聞くにたえない}}言葉で言い争っている。	聞くにたえない<br>聞きづらい<br>聞きかねない<br>聞きにくい
そんなにひどくなるまで我慢するなんて。言ってくれれば病院へ連れていってあげた{{c1::ものを}}。	ものを<br>ものだ<br>わけだ<br>ほどだ
オリンピックで{{c1::優勝せん}}がために、選手達は血のにじむような練習を続けている。	優勝せん<br>優勝した<br>優勝しよう<br>優勝せぬ
「現在の法律では被害者の人権が守られていない」と彼女は涙{{c1::ながらに}}訴えた。	ながらに<br>ばかりに<br>だけに<br>がちに
そんなことはわかりきっている。今さら{{c1::言うまでもない}}。	言うまでもない<br>言うまでだ<br>言うまでのことだ<br>言わないまでだ
子供の暴力事件は常に存在していたが、最近は以前{{c1::にもまして}}暴力が激化しているようだ。	にもまして<br>に至って<br>に対して<br>にも及んで
かたづけた{{c1::そばから}}子供がちらかすので、部屋がきれいにならない。	そばから<br>あとから<br>わきから<br>のちから
計画は完璧だ。あとは、{{c1::ただ}}実行するのみ。	ただ<br>なお<br>さて<br>ただし
貴重な水だ。１滴{{c1::たりとも}}無駄にしてはいけない。	たりとも<br>ともなく<br>を限りに<br>をもって
彼女は重圧を{{c1::ものともせず}}、のびのびとした演技で見事に１位を獲得した。	ものともせず<br>こともなく<br>わけにはせずに<br>ないとはいえ
本日は、６時{{c1::をもって}}閉店とさせていただきます。またのご来店をお待ち申し上げます。	をもって<br>にあって<br>にして<br>を限りに
子供は{{c1::子供なりに}}、人間関係でストレスを感じている。	子供なりに<br>大人もさることながら<br>子供ならでは<br>大人なりに
佐藤君は、{{c1::能力といい、人柄といい}}、この仕事にふさわしい人物だ。	能力といい、人柄といい<br>能力やら、人柄やら<br>能力とか、人柄とか<br>能力なり、人柄なり
この仕事を頼めるのは、君をおいて{{c1::ほかにいない}}。	ほかにいない<br>だれでもいい<br>だれでもない<br>ほかならない
あんな弱いチームに負けるなんて、{{c1::くやしいったらない}}。	くやしいったらない<br>くやしいきらいがある<br>くやしいにたえない<br>くやしくてやまない
歌は決して得意ではないが、「是非に」と言われれば{{c1::歌わないものでもない}}。	歌わないものでもない<br>歌うにはあたらない<br>歌うべくもない<br>歌わないまでだ
若い女性が積極的なのにひきかえ、{{c1::男性は消極的になりがちだ}}。	男性は消極的になりがちだ<br>男性の方が積極的だ<br>男性も積極的だ<br>男性は消極的にならざるを得ない
資源を大切にと言いながらも、紙の使用量は{{c1::一向に減らない}}。	一向に減らない<br>減らさざるを得ない<br>減る一方だ<br>減らすとも限らない
10メートル{{c1::からある}}大木が私たちのいる方向へ倒れてきた。	からある<br>からする<br>からみる<br>からいう
いくら制度が変わっても現状は何{{c1::ら}}変わらない。	ら<br>に<br>と<br>を
チンさんは、とくに{{c1::これ}}といった特徴のない人だ。	これ<br>それ<br>あれ<br>どれ
林さんは何かに{{c1::つけ}}口を出してくるので、みんなにさけられている。	つけ<br>ついて<br>つれて<br>つつ
受賞まであと一歩のところまでいったのだが、だめだった。　残念で{{c1::ならない}}。	ならない<br>なる<br>すぐない<br>すぎる
考えてみた{{c1::ところ}}で、やってしまったことは変えられないのだ。	ところ<br>ばかり<br>あげく<br>ついで
チャイムが鳴ったか{{c1::鳴らない}}かのうちに、学生たちが机の上をかたづけはじめた。	鳴らない<br>鳴る<br>鳴った<br>鳴らなかった
いつも５分か１０分おくれてくる山下さんの{{c1::こと}}だから、今日もおくれるにちがいない。	こと<br>はず<br>もの<br>せい
教師{{c1::たる}}ものは、すべての学生に平等に接するべきだ。	たる<br>こそ<br>まで<br>めく
お母さんがせんたくを{{c1::する}}かたわらで、子どもたちが水遊びをしている。	する<br>して<br>した<br>し
最近とても運がよく、いいこと{{c1::ずくめ}}の毎日だ。	ずくめ<br>がてら<br>かぎり<br>はじめ
お金{{c1::さえあれば}}幸せになれるとはかぎらない。	さえあれば<br>こそあれば<br>さえすれば<br>こそすれば
近所の子どもは、2歳{{c1::にして}}すでに簡単な計算ができる。	にして<br>をして<br>でして<br>がして
「時は金なり」とは、時間を１分{{c1::たりとも}}むだに使うなということだ。	たりとも<br>こととて<br>そばから<br>ならでは
私は今、責任者と言う立場{{c1::にあって}}、すべてのことに気を配らなければならない。	にあって<br>にしいて<br>につけて<br>にしたがって
島田さんは「おまえが悪い」と{{c1::言わんばかり}}の態度で私をにらみつけた。	言わんばかり<br>言いたげ<br>言うらしい<br>言わんくせ
家の前で{{c1::行き・戻り}}つ{{c1::行き・戻り}}つして、うろうろしている男の人はいったいだれなのだろう。	行き・戻り<br>行く・戻る<br>行くか・戻るか<br>行って・戻って
両親{{c1::あって}}の私である。人間は一人で生きられるものではない。	あって<br>とあって<br>であって<br>にあって
うそをついたのなら、{{c1::あやまらず}}にはすまないだろう。	あやまらず<br>あやまる<br>あやまった<br>あやまらない
彼は{{c1::もとより}}おとなしく、文学を好む少年であった。	もとより<br>もはや<br>ものの<br>のもなら
自分が不利だとみるや、あいつと{{c1::きたら}}ころっと態度を変えた。	きたら<br>いえども<br>思いきや<br>相まって
電車の中で隣に座った人たちの会話を聞く{{c1::ともなく}}聞いていたら、知り合いの名前が出てきて驚いた。	ともなく<br>ともなれば<br>とはいえ<br>ときたら
親友と{{c1::いえども}}、言っていいことと悪いことがある。	いえども<br>いうと<br>いったら<br>いいつつ
私の父はよく散歩し{{c1::がてら}}、スーパーに寄り、家族の好きなものを買ってきてくれる。	がてら<br>かたがた<br>そばから<br>ともに
少しずつ春{{c1::めいて}}きましたが、いかがお過ごしでしょうか。	めいて<br>らしく<br>まみれて<br>ごとく
彼は日本に来て５年になるのに、漢字はおろか{{c1::ひらがなさえも書けない}}。	ひらがなさえも書けない<br>ひらがなだけは書ける<br>難しい言葉も理解している<br>やさしいことばも理解している
あの大地震で家族を亡くした方や、家を失った方には{{c1::同上を禁じえない}}。	同上を禁じえない<br>同情するまでもない<br>同情するにたらない<br>同情するにたえない
大事故にいたらなくてよかったものの、一つ間違えば{{c1::けがどころではすまなかった}}。	けがどころではすまなかった<br>何事もなく無事であった<br>死ぬおそれはなかった<br>死ぬどころではなかった
松下さんは{{c1::一度言い出したが最後}}、決して考えを曲げない。	一度言い出したが最後<br>一度言い出すや否や<br>一度言い出すなり<br>一度言い出すや否や
大変お待たせいたしました。ただいまより、すばらしい手品を{{c1::ごらんにいれましょう}}。	ごらんにいれましょう<br>ごらんいたしましょう<br>ごらんになりましょう<br>ごらんくださいましょう
授業は欠席がちで、課題も提出しないとは、{{c1::学生にあるまじき}}行動ではないか。	学生にあるまじき<br>学生にないまじき<br>学生といえるまじき<br>学生と言えないまじき
アルク党の党首に対する批判が高まっているが、{{c1::そのような批判をものともせず}}当の本人は次々と新しい政策を打ち出している。	そのような批判をものともせず<br>そのような批判を余儀なくし<br>そのような評判をかわ切りにして<br>そのような批判を禁じ得ず
行かないと{{c1::言ってしまえばそれまでだが}}、後々後悔することになるかもしれないよ。	言ってしまえばそれまでだが<br>言わないとしても<br>言うまでもないが<br>言ってしまうのは簡単だから
昨晩のパーティーは、さすが{{c1::山本さんならではの}}すばらしい演出でしたね。	山本さんならではの<br>山本さんとしては<br>山本さんだとしても<br>山本さんとしたことが
その件につきましては、先日、担当の木下が{{c1::うけたまわっておりますので}}、ご安心ください。	うけたまわっておりますので<br>お目にかかりますので<br>存じておりますので<br>ご覧くださいましたので
この病気は手術を{{c1::しない}}限り、治りません。できるだけ早く手術を受けてください。	しない<br>しなくて<br>して<br>する
年を取ってからの勉強は効率が悪い。聞いた{{c1::そばから}}忘れていくのだから。	そばから<br>や否や<br>あいだに<br>うちに
空の青さと紅葉のあざやかさとが{{c1::あいまって}}、秋の高原は絵のように美しい。	あいまって<br>あい変わらず<br>ともなって<br>集まって
市価より２，３割安い{{c1::とあって}}、商品はあっという間に売り切れてしまった。	とあって<br>からして<br>といえども<br>からといって
ごくわずか{{c1::ながら}}、景気回復の兆しが見え始めた。	ながら<br>にしては<br>にひきかえ<br>ながらに
低温に{{c1::たえる}}野菜の品種改良が待たれている。	たえる<br>たる<br>あたる<br>かかわる
息子はほとんど家にいない。帰ってきた{{c1::かと思うと}}、またすぐ出かけてしまう。	かと思うと<br>ばかりに<br>やいなや<br>なり
この報道は必ずしも真実を伝えているもの{{c1::とは思えない}}。	とは思えない<br>にちがいない<br>であろう<br>にあたらない
国民の信頼{{c1::にたる}}政治家がなんと少ないことか。	にたる<br>にあたる<br>にいたる<br>におよぶ
電車が動かないなら、歩いて帰る{{c1::しかない}}。	しかない<br>ほどだ<br>わけだ<br>くらいだ
よくよく{{c1::考えた}}うえで決めたことだから、たとえ失敗してもいいじゃないか。	考えた<br>考える<br>考えて<br>考え
社長の命令{{c1::とあれば}}、長期の出張も引き受けざるをえない。	とあれば<br>にせよ<br>にしては<br>としても
失恋の悲しみは身をもって経験して{{c1::はじめて}}わかるものだ。	はじめて<br>とうとう<br>いよいよ<br>いまだに
こんなことを言えば彼女を傷つけることになると知り{{c1::つつも}}、言わざるをえなかった。	つつも<br>かねて<br>かけて<br>すぎて
政治家が次々に逮捕されるという事態に国民は失望を{{c1::禁じ得ない}}。	禁じ得ない<br>かたくない<br>ほかならない<br>極まりない
勉強が好きではない{{c1::にしても}}、高校はちゃんと卒業しておいたほうがいい。	にしても<br>ながら<br>といって<br>として
生物はより優れた子孫を{{c1::残さんがために}}、激しい生存競争を展開する。	残さんがために<br>残すまいと<br>残さんばかりに<br>残しかねて
私の後ろの男は、早く行け{{c1::とばかりに}}私の背中を押した。私は危うく倒れるところだった。	とばかりに<br>といっても<br>といわず<br>としても
一見すると古くて汚いが、これらの道具の中には一つ{{c1::たりとも}}余分なものはない。	たりとも<br>に限って<br>なりに<br>にひきかえ
ボランティア活動は経験の有無{{c1::を問わず}}、だれでも参加できる。	を問わず<br>をもって<br>と言わず<br>をおいて
対応がもっと早ければ被害は少なくて済んだ{{c1::ものの}}、救助が遅れて被害が広がった。	ものの<br>もので<br>ものか<br>ものを
教養ある紳士{{c1::といえども}}、時には礼儀を欠くこともある。	といえども<br>ときたら<br>ともなると<br>とすれば
われわれは世界平和の実現を{{c1::願って}}やまない。	願って<br>願い<br>願って<br>願う
あの人ったら自分が悪いくせに、いつも{{c1::ひとのせいにする}}。	ひとのせいにする<br>あやまってばかりいる<br>結局困っている<br>失敗ばかりしている
海外旅行へ出発する日にパスポートを忘れるとは、{{c1::なんというバカだろう}}。	なんというバカだろう<br>よく注意をした<br>十分気をつけよう<br>困ってしまった
一人暮らしは、楽しいとは言えないまでも、{{c1::気楽でいい}}。	気楽でいい<br>不自由なこともある<br>やはり、家族と一緒がいい<br>やはり、さびしいものだ
事故にあい、命を落とさずにすんだものの、{{c1::右足が不自由になってしまった}}。	右足が不自由になってしまった<br>生きていてよかった<br>幸運だったと思う<br>今後は安全運転を心掛けよう
彼女の責任が問われているほうだが、私の知る限りでは{{c1::彼女には何の責任もない}}。	彼女には何の責任もない<br>何も話すことはない<br>事実を全部話そう<br>これ以上は何もわからない
国民の期待というプレッシャーの大きさは{{c1::想像にかたくない}}が、彼女はそれを見事に克服して、金メダルを獲得した。	想像にかたくない<br>想像できない<br>想像できることはできる<br>想像することはない
現状に即した対策を{{c1::立てるべきところを}}、理論だけが空回りしている。これでは事態を打開することは難しいだろう。	立てるべきところを<br>立てるべきだから<br>立てたところで<br>立てただけあって
被災地の受験生も、人生の分かれ道ともいえる入学試験に{{c1::合格するべく}}、厳しい条件の下で準備に励んでいる。	合格するべく<br>合格したいのだが<br>合格したいものの<br>合格しようにもできず
当社では新入社員の採用に当たり、応募者の{{c1::学業成績のみならず}}、趣味、特技等も考慮して選考を行っている。	学業成績のみならず<br>学業成績をものともせずに<br>学業成績はおろか<br>学業成績にひきかえ
その行動力といい、指導力といい、彼こそトップにふさわしい人だ。次期会長は{{c1::彼をおいてほかにいない}}、というのが大方の見方である。	彼をおいてほかにいない<br>彼にあるまじきことだ<br>ひとり彼だけではない<br>彼でなくてもいい
私の知る{{c1::限りでは}}、彼と彼女の仲はうまくいっているようだ。	限りでは<br>限って<br>限りに<br>限らず
あの男{{c1::ほど}}善良な人間を、私は知らない。	ほど<br>ばかり<br>なんて<br>つつ
今日は天気がいいから、散歩{{c1::がてら}}一人暮らしの祖母の様子を見てこよう。	がてら<br>ながら<br>かたわら<br>つつ
住民の不安を{{c1::よそに}}、原子力発電所の建設計画が進められている。	よそに<br>あとに<br>ほかに<br>そとに
厳しい訓練に耐えてきた兵士たちは、身動き{{c1::たに}}せず、門の前に立っていた。	たに<br>こそ<br>だけ<br>にも
年をとって怒りっぽくなった父は、最近では近所の子供にまで大声でどなる{{c1::しまつ}}だ。	しまつ<br>こと<br>はず<br>わけ
高い評価を得ている彼女だが、最近の演奏は以前にも{{c1::まして}}すばらしい。	まして<br>及んで<br>加えて<br>くらべて
子供の将来を{{c1::思えば}}こそ、親は心を鬼にしなければならないこともある。	思えば<br>思うと<br>思ったら<br>思うなら
マイホームを手に入れようと決心した兄は、昼も夜も汗{{c1::まみれ}}になって働いた。	まみれ<br>ばかり<br>たっぷり<br>ずくめ
三つや四つの子供では{{c1::あるまいし}}、いつまでも人に頼っていてはだめだ。	あるまいし<br>ないだろうと<br>なくても<br>ありそうもなく
過去の失敗を今さら{{c1::悔やんだ}}ところで、どうにもならない。	悔やんだ<br>悔やみ<br>悔やんで<br>悔やむ
一緒に入社した彼が昇進したのに{{c1::ひきかえ}}、私はいまだに平社員のままだ。	ひきかえ<br>かえって<br>かかららず<br>かわって
今回の事件も{{c1::さることながら}}、最近、犯罪の犠牲となって命を失う人があとを絶たない。	さることながら<br>のみならず<br>かまわず<br>もっともだが
ひと雨ごとに春{{c1::めいて}}、何となくうきうきした気分になる。	めいて<br>のように<br>づいて<br>っぽく
人間六十歳{{c1::ともなると}}、多かれ少なかれ、先のことを考えるものだ。	ともなると<br>からすると<br>からして<br>となってみたら
わが社は今回の台湾進出を{{c1::かわきりに}}、今後海外に進出していく予定である。	かわきりに<br>中心に<br>はじめに<br>先頭に
大学進学を決めた{{c1::以上}}、合格するべく頑張らなければならない。	以上<br>もので<br>ことから<br>次第
社長は、二十歳{{c1::にして}}すでに今の会社の基礎を築いていたそうだ。	にして<br>になって<br>において<br>にとって
今月末を{{c1::もって}}、父は４０年あまり勤めた会社を定年退職する。	もって<br>になって<br>よって<br>とって
よほど疲れていたのだろう。彼女は横になる{{c1::なり}}、寝入ってしまった。	なり<br>まま<br>否か<br>きり
いくら息子のためとはいえ、大金をつかって入学させるなど、愚か{{c1::としか言いようがない}}。	としか言いようがない<br>とだけ言える<br>とのみ言うべきだ<br>とでも言うべきだ
彼女の乱暴なものの言い方は、聞くに{{c1::たえない}}。	たえない<br>かたい<br>たりない<br>はずかしい
不正に公金を利用した部長は、退職を{{c1::余儀なくされた}}。	余儀なくされた<br>しないわけではない<br>禁じざるを得ない<br>迫っていた
どうしても、というのであれば、{{c1::やらないものでもない}}。	やらないものでもない<br>やらないことにすぎない<br>やらないはずだ<br>やらなくなるべきだ
息子の突然の死を嘆く母親を前に、私は言葉もなく、ただ見守る{{c1::はかはなかった}}。	はかはなかった<br>のみではなかった<br>ほかでもなかった<br>にすぎなかった
当店の営業は、６時{{c1::を}}もって終了とさせていただきます。	を<br>に<br>から<br>と
彼なり{{c1::と}}よく考えて出した結論ならばそうするより仕方がないだろう。	と<br>で<br>に<br>も
離婚の原因は彼にあるが、彼女{{c1::に}}したって、ある程度は後悔していると思うよ。	に<br>から<br>を<br>が
いくら優勝したいからといって、体を壊すまで練習しなくてもいいもの{{c1::を}}。	を<br>から<br>だ<br>で
残り時間あと２分。もう絶対に負けたと{{c1::思いきや}}、最後の最後で逆転した。	思いきや<br>思おうにも<br>思ったにせよ<br>思わずには
人前でスピーチするのは初めてのこと{{c1::とて}}、彼はすっかり緊張していた。	とて<br>であっても<br>だのに<br>といって
心理学者と{{c1::いえども}}、娘の心理が理解できないこともある。	いえども<br>いったら<br>いうと<br>いえば
まったく、この子と{{c1::きたら}}親の言うことをちっとも聞かない。	きたら<br>すれば<br>したら<br>いえば
失敗してから後悔した{{c1::ところで}}、今さらどうしようもない。	ところで<br>だけで<br>もので<br>はずで
経費削減のため、紙一枚{{c1::たりとも}}無駄にしないこと。	たりとも<br>のみの<br>だけしか<br>くらいの
社員{{c1::あって}}の会社であるはずが、この会社は社員の待遇を一向に改善しようとしない。	あって<br>にとって<br>として<br>をおいて
毎日汗{{c1::まみれ}}になって働いても、生活は一向に楽にならない。	まみれ<br>だけ<br>くらい<br>ばかり
前の席の二人の会話を聞く{{c1::ともなしに}}聞いていたら、姉の名前が出てきて驚いた。	ともなしに<br>ために<br>ことなしに<br>ように
「お前{{c1::ごとき}}におれの気持ちなどわかるものか！」と彼はどなった。	ごとき<br>だけ<br>のよう<br>みたい
昇進できるかどうかは、今年の営業成績{{c1::いかん}}だ。	いかん<br>ばかり<br>から<br>かぎり
財布を忘れ、買い物を{{c1::しよう}}にもできなかった。	しよう<br>できる<br>する<br>できない
人の失敗を笑い話にするとは、失礼{{c1::きわまる}}やつだ。	きわまる<br>いたる<br>かぎる<br>かねる
いつも慎重な彼に{{c1::しては}}めずらしく、思い切ったことをしたものだ。	しては<br>しても<br>かぎって<br>かえって
あの程度の雨量で大洪水が起こるとは、だれも予想{{c1::だに}}しなかった。	だに<br>こそ<br>しか<br>のみ
友達とけんかでもしたらしく、娘は帰ってくる{{c1::なり}}泣き出した。	なり<br>から<br>あと<br>まで
彼女は商社に勤める{{c1::かたわら}}、週末は近所の子供たちに英語を教えている。	かたわら<br>他方<br>そばで<br>反面
言葉には表されない{{c1::までも}}、不賛成の意向は彼の態度から十分読める。	までも<br>ようで<br>としても<br>ために
彼の無礼な行為は、若さ{{c1::ゆえ}}の過ちとして片づけられるものではない。	ゆえ<br>より<br>のみ<br>だけ
高速道路の騒音対策は、地域の実情に{{c1::即して}}行われるべきである。	即して<br>対して<br>次いで<br>臨んで
さあ、どうぞ。何でも好きな物を食べたい{{c1::だけ}}食べてください。	だけ<br>くらい<br>ほど<br>ばかり
さすが彼のような有名人ともなると、{{c1::気軽に町を歩くこともできない}}。	気軽に町を歩くこともできない<br>気軽に町を歩かざるをえない<br>気軽に町を歩かずにはいられない<br>気軽に町を歩く嫌いがある
能力といい、人格といい、あの人をおいて、{{c1::トップにふさわしい人はいない}}。	トップにふさわしい人はいない<br>トップになるべきではない<br>とっぷになるべきだ<br>トップにふさわしい人だ
人の一番大切な物を壊しておいて、{{c1::「ごめんなさい」だけでは済まないよ}}。	「ごめんなさい」だけでは済まないよ<br>「ごめんなさい」と言えばいいのに<br>「ごめんなさい」と言うべきだ<br>「ごめんなさい」と言うはずだ
「世の中、金がすべて」とはいっても、愛情なくしては{{c1::とても生きていけない}}。	とても生きていけない<br>生活することも不可能ではない<br>十分生活できるだろう<br>生きられないこともない
ベルがなるや否や、生徒たちは{{c1::一斉に教室を飛び出した}}。	一斉に教室を飛び出した<br>一人また一人と帰っていった<br>熱心に勉強している<br>勉強から解放されている
子供の将来を{{c1::心配すればこそ}}、親は厳しいことを言うものなのです。	心配すればこそ<br>心配するからには<br>心配しながらも<br>心配したところで
今年度の試験は、{{c1::昨年度にもまして}}難しくなっている。	昨年度にもまして<br>昨年度について<br>昨年度からして<br>昨年度に対して
彼女の成功は{{c1::家族の協力をぬきにしては}}、語れない。	家族の協力をぬきにしては<br>家族の協力があってこそ<br>自身の努力がなければ<br>自身の努力があればこそ
金があるからといって、{{c1::子供にむやみに物を与えると}}、子供はろくな大人にはならない。	子供にむやみに物を与えると<br>子供を厳しく育てると<br>子供に節約を強いるなら<br>子供を質素に育てると
環境問題は、{{c1::ただ一国のみならず}}、各国が協力して取り組むべきである。	ただ一国のみならず<br>一国だけにかかわらず<br>一国が行うまでもなく<br>ただ一国だけであれ
工事中{{c1::につき}}、お足もとに十分ご注意ください。	につき<br>だけあって<br>ことから<br>とあって
会社に入った{{c1::からには}}、全力で仕事をするつもりです。	からには<br>ばかり<br>からして<br>ところ
これを{{c1::もって}}、今日のパーティーは閉会といたします。ありがとうございました。	もって<br>もとに<br>めぐって<br>かぎりに
こんなに雨が少ないと、水不足になり{{c1::かねない}}。	かねない<br>がたい<br>かもしれない<br>つつある
外国に住む{{c1::としたら}}、たとえばどこに行きたいですか。	としたら<br>とあれば<br>といっても<br>とはいえ
たとえ学歴が低くても、努力{{c1::しだいで}}出世することもできる。	しだいで<br>ながら<br>において<br>にあって
銀座の一流店というと、「高い」と思われ{{c1::がち}}だが、必ずしもそうではない。	がち<br>しだい<br>もの<br>気味
両親が音楽家という{{c1::だけあって}}、その子も早くから音楽の才能を示した。	だけあって<br>もので<br>ことから<br>からいって
当時ひどく貧乏だった私は、バイクは{{c1::おろか}}、自転車も買えなかった。	おろか<br>とにかく<br>ないまでも<br>どころか
子供でさえすぐ理解できるようなことがわからないとは、情けない{{c1::かぎり}}。	かぎり<br>きり<br>いっぽう<br>します
子供は母親の姿を見る{{c1::やいなや}}、走りだした。	やいなや<br>とたん<br>そばから<br>ところを
いつも朗らかな彼女{{c1::にして}}あれほど沈んでいたのだから、相当なショックだったにちがいない。	にして<br>らしく<br>なりに<br>ゆえ
ライオンは獲物をねらった{{c1::が最後}}、決して逃さない。	が最後<br>ところで<br>とたん<br>最中
高原{{c1::ならでは}}の新鮮な野菜を使ったサラダはいかがですか。	ならでは<br>だけあって<br>かぎり<br>ばかり
登山好きの彼は、日本アルプスは{{c1::もとより}}、ヨーロッパアルプスにも登っている。	もとより<br>とにかく<br>皮切りに<br>のみならず
おいしそうなケーキを食べようとした{{c1::ところ}}で、目が覚めてしまった。	ところ<br>ばかり<br>最中<br>おり
わが家の厳しい財政状態では１円{{c1::たりとも}}、無駄にできない。	たりとも<br>ほどでも<br>なりとも<br>くらいは
